country_name,country_code,WGI - VoiceandAccountability,WGI - Political StabilityNoViolence,WGI - GovernmentEffectiveness,WGI - RegulatoryQuality,WGI - RuleofLaw,WGI - ControlofCorruption
Latvia,LVA,0.88495147228240967,0.44884812831878662,1.1050282716751099,1.192685604095459,1.013924241065979,0.48493975400924683
Kosovo,KSV,-0.12958827614784241,-0.39246627688407898,-0.34941285848617554,-0.34727782011032104,-0.39301744103431702,-0.55613434314727783
"Macao SAR, China",MAC,-0.3028436005115509,1.2506430149078369,1.1693935394287109,1.6270740032196045,0.91880381107330322,0.70422101020812988
Morocco,MAR,-0.62680536508560181,-0.36939835548400879,-0.11922524124383926,-0.21152836084365845,-0.13564912974834442,-0.27653631567955017
Monaco,MCO,0.6848723292350769,1.5918735265731812,NA,NA,NA,NA
Moldova,MDA,-8.9936248958110809E-2,-0.38279706239700317,-0.383404940366745,9.7867101430892944E-3,-0.37302857637405396,-0.61868476867675781
Madagascar,MDG,-0.22059810161590576,-0.25254756212234497,-1.142453670501709,-0.7300456166267395,-1.0088132619857788,-1.0093696117401123
Maldives,MDV,-0.44194471836090088,1.3524998910725117E-2,-0.19421827793121338,-0.47961467504501343,-0.41108790040016174,-0.26250743865966797
Mexico,MEX,1.8328277394175529E-2,-0.71457099914550781,-0.15700839459896088,0.10367979109287262,-0.6581035852432251,-0.82108008861541748
Marshall Islands,MHL,1.1366156339645386,0.86258542537689209,-1.4705981016159058,-1.1167935132980347,-3.3094067126512527E-2,-4.3416276574134827E-2
North Macedonia,MKD,-1.5601958148181438E-3,-4.9200501292943954E-2,-2.4857537355273962E-3,0.50878447294235229,-0.24343633651733398,-0.40946370363235474
Mali,MLI,-0.41409948468208313,-2.1534361839294434,-1.0564441680908203,-0.57318598031997681,-0.83423358201980591,-0.69664347171783447
Malta,MLT,1.110596776008606,1.090186595916748,0.85841995477676392,0.95564538240432739,0.95223230123519897,0.23938655853271484
Myanmar,MMR,-0.83777320384979248,-1.2617672681808472,-1.1498692035675049,-0.76039284467697144,-1.0627838373184204,-0.62519550323486328
Mongolia,MNG,0.34896886348724365,0.64349168539047241,-0.19483031332492828,-1.124198455363512E-2,-0.26629304885864258,-0.44176074862480164
Montenegro,MNE,2.6663327589631081E-2,1.0601907037198544E-2,0.15625758469104767,0.36523148417472839,9.5744796097278595E-2,-3.0126255005598068E-2
Mozambique,MOZ,-0.50823467969894409,-0.74543857574462891,-0.82328957319259644,-0.72476434707641602,-1.0201843976974487,-0.80101454257965088
Mauritania,MRT,-0.78021371364593506,-0.54221659898757935,-0.49821245670318604,-0.75933969020843506,-0.5827178955078125,-0.86158454418182373
Mauritius,MUS,0.80814105272293091,0.82203984260559082,0.87113988399505615,0.99652040004730225,0.76357662677764893,0.31711199879646301
Malawi,MWI,-9.4866469502449036E-2,-0.26725292205810547,-0.74943667650222778,-0.70119547843933105,-0.33112335205078125,-0.78115266561508179
Malaysia,MYS,-4.3429460376501083E-2,0.11027669906616211,0.99868565797805786,0.67314082384109497,0.59094518423080444,0.24752280116081238
Namibia,NAM,0.54218977689743042,0.5339198112487793,9.6649490296840668E-2,-0.10890825837850571,0.3099801242351532,0.37248110771179199
Niger,NER,-0.5653688907623291,-1.4030383825302124,-0.80106168985366821,-0.66870445013046265,-0.53293120861053467,-0.55416625738143921
Nigeria,NGA,-0.41299602389335632,-1.934673547744751,-1.0886335372924805,-0.8609851598739624,-0.89798212051391602,-1.0949479341506958
Nicaragua,NIC,-1.0770896673202515,-1.034827709197998,-0.77087438106536865,-0.68905812501907349,-1.1756899356842041,-1.121843695640564
Netherlands,NLD,1.564838171005249,0.85725194215774536,1.7980079650878906,1.8610787391662598,1.8084671497344971,1.9997575283050537
Norway,NOR,1.6869549751281738,1.1861281394958496,1.8622915744781494,1.8040546178817749,1.9849152565002441,2.0734682083129883
Nepal,NPL,-0.13064293563365936,-0.46563026309013367,-1.045199990272522,-0.70137512683868408,-0.53553414344787598,-0.67409384250640869
